timestamp,open,high,low,close,volume
2025-12-04,12.47,12.58,12.35,12.5,8804429
2025-12-05,12.38,12.49,12.29,12.38,13599405
2025-12-08,12.69,12.83,12.52,12.54,7910456
2025-12-09,12.63,12.78,12.52,12.68,4987668
2025-12-10,13.0,13.14,12.84,13.03,12054251
2025-12-11,13.55,13.59,13.35,13.46,9813793
2025-12-12,13.68,13.72,13.53,13.54,10093538
2025-12-15,13.67,13.99,13.49,13.67,6142658
2025-12-16,13.59,13.8,13.47,13.58,5562512
2025-12-17,13.48,13.56,13.38,13.5,10820426
2025-12-18,12.83,13.02,12.58,12.96,9325380
2025-12-19,12.57,12.77,12.36,12.67,5525065
2025-12-22,12.37,12.53,12.29,12.39,8530086
2025-12-23,12.62,12.67,12.35,12.45,9433920
2025-12-24,12.55,12.55,12.36,12.37,3632125
2025-12-25,12.86,13.03,12.66,12.86,5761237
2025-12-26,13.37,13.54,13.2,13.36,11810710
2025-12-29,13.51,13.92,13.42,13.61,7784931
2025-12-30,13.88,13.98,13.85,13.87,14988594
2025-12-31,14.17,14.44,14.06,14.19,4824554
2026-01-01,14.13,14.26,14.11,14.16,9518071
2026-01-02,14.31,14.73,14.06,14.14,10353378
2026-01-05,13.65,13.96,13.51,13.87,11996329
2026-01-06,14.21,14.27,13.59,13.77,6271988
2026-01-07,14.09,14.23,13.95,14.09,9058162
2026-01-08,14.17,14.44,14.06,14.13,7997025
2026-01-09,14.21,14.41,14.01,14.03,11814035
2026-01-12,14.04,14.05,13.83,13.95,11272523
2026-01-13,14.02,14.09,13.79,13.99,8196384
2026-01-14,14.21,14.44,14.1,14.31,14083944
2026-01-15,13.94,14.16,13.67,13.94,11130813
2026-01-16,13.58,13.93,13.47,13.87,14269388
2026-01-19,14.2,14.35,14.1,14.11,12237160
2026-01-20,13.53,13.75,13.15,13.71,11069892
2026-01-21,14.18,14.44,13.87,14.08,7480057
2026-01-22,14.03,14.32,13.68,13.85,12121854
2026-01-23,14.05,14.22,13.97,14.04,10025946
2026-01-26,14.06,14.33,13.89,14.06,10683858
2026-01-27,14.12,14.3,13.94,14.17,14611289
2026-01-28,13.82,14.0,13.77,13.83,11744354
2026-01-29,13.9,13.91,13.85,13.87,8579432
2026-01-30,13.82,14.02,13.62,13.77,8076421
2026-02-02,14.02,14.17,13.91,14.11,10597468
2026-02-03,14.11,14.19,13.89,13.96,9560462
2026-02-04,13.95,14.0,13.85,13.96,11644181
2026-02-05,14.06,14.15,13.83,13.88,3852740
2026-02-06,13.98,14.09,13.82,13.99,12154437
2026-02-09,14.3,14.44,14.21,14.33,8786092
2026-02-10,14.23,14.4,14.08,14.34,7506930
2026-02-11,14.45,14.52,14.24,14.47,3439883
2026-02-12,14.22,14.41,14.14,14.18,5752961
2026-02-13,14.18,14.27,14.03,14.2,3730284
2026-02-16,13.88,14.0,13.85,13.86,4367680
2026-02-17,13.72,13.73,13.43,13.62,7838161
2026-02-18,14.11,14.15,13.93,13.96,13299071
2026-02-19,13.85,13.98,13.67,13.94,3931648
2026-02-20,13.77,13.8,13.61,13.77,14449242
2026-02-23,13.77,14.17,13.45,13.78,12836579
2026-02-24,13.38,13.67,13.34,13.4,10228193
2026-02-25,14.06,14.16,13.82,13.86,12873412
2026-02-26,13.72,13.83,13.59,13.73,5166308
2026-02-27,13.79,13.93,13.73,13.81,12287691
2026-03-02,13.76,13.82,13.53,13.74,4839743
2026-03-03,13.63,13.96,13.52,13.72,3121602
2026-03-04,13.35,13.71,13.33,13.45,4082051
